uid,count,id,ukftype
006,764606,017,mat
006,535402,017,mat
006,428440,017,mat
006,493500,017,mat
006,563984,017,mat
006,520484,017,mat
006,528550,017,mat
006,541102,017,mat
006,443640,017,mat
006,517648,017,mat
006,563420,017,mat
006,499568,017,mat
006,408066,017,mat
006,624584,017,mat
006,588680,017,mat
006,432000,017,mat
006,567330,017,mat
006,547234,017,mat
006,531642,017,mat
006,682144,017,mat
006,462858,017,mat
006,677180,017,mat
006,533878,017,mat
006,417320,017,mat
006,512994,017,mat
006,506888,017,mat
006,837382,017,mat
006,564628,017,mat
006,578104,017,mat
006,479490,017,mat
006,635238,017,mat
006,704014,017,mat
006,462176,017,mat
006,623326,017,mat
006,739900,017,mat
006,598350,017,mat
006,621910,017,mat
006,673054,017,mat
006,537692,017,mat
006,529282,017,mat
006,489744,017,mat
006,560632,017,mat
006,561062,017,mat
006,626138,017,mat
006,591376,017,mat
006,475564,017,mat
006,644956,017,mat
006,622822,017,mat
006,556260,017,mat
006,582368,017,mat
006,578516,017,mat
006,571852,017,mat
006,524236,017,mat
006,670876,017,mat
006,567704,017,mat
006,523564,017,mat
006,858316,017,mat
006,547292,017,mat
006,634756,017,mat
006,553456,017,mat
006,487062,017,mat
006,574908,017,mat
006,547614,017,mat
006,545802,017,mat
006,576432,017,mat
006,652140,017,mat
006,475274,017,mat
006,641750,017,mat
006,578654,017,mat
006,560196,017,mat
006,517510,017,mat
006,643068,017,mat
006,540794,017,mat
006,399568,017,mat
006,475468,017,mat
006,442214,017,mat
006,604312,017,mat
006,463238,017,mat
006,664660,017,mat
006,553324,017,mat
006,591146,017,mat
006,475714,017,mat
006,550726,017,mat
006,645834,017,mat
006,564814,017,mat
006,618170,017,mat
006,530078,017,mat
006,589044,017,mat
006,649570,017,mat
006,642054,017,mat
006,333720,017,mat
006,463058,017,mat
006,570808,017,mat
006,558016,017,mat
006,584450,017,mat
006,481206,017,mat
023,1438330,018,mat
023,1554504,018,mat
023,1159322,018,mat
023,1311514,018,mat
023,1640988,018,mat
023,1623352,018,mat
023,1425658,018,mat
019,2015304,019,mat
019,1414058,019,mat
019,1824968,019,mat
019,1719868,019,mat
019,1557702,019,mat
019,1325182,019,mat
019,1888188,019,mat
019,1706638,019,mat
019,1477836,019,mat
019,1516108,019,mat
019,1804876,019,mat
019,1496522,019,mat
019,1686904,019,mat
019,2034056,019,mat
019,1875070,019,mat
019,1326112,019,mat
019,1634992,019,mat
019,1401356,019,mat
019,1433614,019,mat
019,1231260,019,mat
019,1390490,019,mat
019,1846954,019,mat
019,1257168,019,mat
019,1412616,019,mat
019,1762034,019,mat
019,1725984,019,mat
019,1136718,019,mat
019,1943998,019,mat
019,1521384,019,mat
019,1954930,019,mat
019,1465968,019,mat
019,1639462,019,mat
019,1778658,019,mat
019,1841072,019,mat
019,2105624,019,mat
019,1706622,019,mat
019,1473262,019,mat
023,1250782,023,mat
023,1426778,023,mat
023,1612998,023,mat
023,1671576,023,mat
023,1565744,023,mat
023,1815866,023,mat
023,1556292,023,mat
023,1419330,023,mat
023,1458304,023,mat
023,2002578,023,mat
023,1680102,023,mat
023,1635554,023,mat
023,1793608,023,mat
023,1641966,023,mat
023,1600206,023,mat
023,1373340,023,mat
023,1702416,023,mat
023,1602106,023,mat
023,1330038,023,mat
023,1491200,023,mat
023,1477954,023,mat
023,1546430,023,mat
023,1645830,023,mat
023,1284950,023,mat
023,1577648,023,mat
023,1413536,023,mat
023,1829340,023,mat
023,1459392,023,mat
023,1560612,023,mat
023,1764106,023,mat
023,1076674,023,mat
023,1488474,023,mat
023,1284252,023,mat
023,1481360,023,mat
023,1685762,023,mat
023,1589160,023,mat
023,1309150,023,mat
023,1240600,023,mat
023,1574822,023,mat
023,1470732,023,mat
023,1369356,023,mat
023,1806494,023,mat
023,1582448,023,mat
023,1731388,023,mat
023,1539606,023,mat
023,1662626,023,mat
023,1592790,023,mat
023,1489324,023,mat
023,1718862,023,mat
023,1357980,023,mat
023,1477536,023,mat
023,1816030,023,mat
023,1640890,023,mat
023,1637106,023,mat
023,1804064,023,mat
023,1525702,023,mat
023,2042970,023,mat
023,1667378,023,mat
023,1789354,023,mat
023,1722670,023,mat
023,1344908,023,mat
023,1866372,023,mat
023,1761580,023,mat
023,1691436,023,mat
023,1863992,023,mat
023,1626076,023,mat
023,1433556,023,mat
024,601006,024,mat
024,663272,024,mat
024,592910,024,mat
024,587912,024,mat
024,585926,024,mat
024,487220,024,mat
024,490738,024,mat
024,617728,024,mat
024,563716,024,mat
024,520886,024,mat
024,655438,024,mat
024,591058,024,mat
024,579790,024,mat
024,428818,024,mat
024,412394,024,mat
024,533554,024,mat
024,614846,024,mat
024,556216,024,mat
024,547400,024,mat
024,529598,024,mat
024,508464,024,mat
024,481650,024,mat
024,470314,024,mat
024,404382,024,mat
024,654856,024,mat
024,494092,024,mat
024,542384,024,mat
024,539854,024,mat
024,541446,024,mat
024,431264,024,mat
024,492956,024,mat
024,506400,024,mat
024,464938,024,mat
024,558264,024,mat
024,536422,024,mat
024,602424,024,mat
