Session,Scanner,Serial,Software,Gender,Age,Handedness(writing),,,Key:,,
007_TBI_019,4,[17437],[3.2.3\3.2.3.0],1,38,2,,,,,
007_TBI_022,4,[17437],[3.2.3\3.2.3.0],1,33,2,,,,,
007_TBI_024,4,[17437],[3.2.3\3.2.3.0],1,31,1,,,,,
007_TBI_030,4,[17437],[3.2.3\3.2.3.0],1,29,2,,,,,
007_TBI_033,4,[17437],[3.2.3\3.2.3.0],1,32,2,,,,,
007_TBI_034,4,[17437],[3.2.3\3.2.3.0],1,31,2,,,,,
007_TBI_041,4,[17437],[3.2.3\3.2.3.1],1,26,2,,,,,
024_NA3_001,4,[17437],[2.6.3\2.6.3.7],2,35,2,,,,,
024_NA3_002,4,[17437],[2.6.3\2.6.3.7],2,51,2,,,,,
024_NA3_003,4,[17437],[2.6.3\2.6.3.7],2,64,2,,,,,
024_NA3_005,4,[17437],[3.2.3\3.2.3.0],1,58,1,,,,,
024_NA3_007,4,[17437],[3.2.3\3.2.3.1],2,26,1,,,,,
024_NA3_008,4,[17437],[3.2.3\3.2.3.1],1,49,2,,,,,
024_NA3_010,4,[17437],[3.2.3\3.2.3.1],1,58,2,,,,,
024_NA3_011,4,[17437],[3.2.3\3.2.3.1],2,22,1,,,,,
024_NA3_012,4,[17437],[3.2.3\3.2.3.1],1,31,2,,,,,
024_NAA_002,4,[17437],[2.6.3\2.6.3.7],2,59,1,,,,,
024_NAA_003,4,[17437],[2.6.3\2.6.3.7],2,54,2,,,,,
024_NAA_005,4,[17437],[2.6.3\2.6.3.7],2,54,2,,,,,
024_NAA_006,4,[17437],[2.6.3\2.6.3.7],2,27,2,,,,,
024_NAA_007,4,[17437],[2.6.3\2.6.3.7],2,22,2,,,,,
024_NAA_008,4,[17437],[2.6.3\2.6.3.7],1,29,2,,,,,
024_NAA_009,4,[17437],[2.6.3\2.6.3.7],2,58,2,,,,,
024_NAA_013,4,[17437],[2.6.3\2.6.3.7],1,56,2,,,,,
024_NAA_014,4,[17437],[2.6.3\2.6.3.7],1,47,2,,,,,
024_NAA_015,4,[17437],[2.6.3\2.6.3.7],2,42,2,,,,,
024_NAA_016,4,[17437],[2.6.3\2.6.3.7],2,47,2,,,,,
024_NAA_017,4,[17437],[2.6.3\2.6.3.7],2,39,2,,,,,
024_NAA_018,4,[17437],[2.6.3\2.6.3.7],2,24,2,,,,,
024_NAA_019,4,[17437],[2.6.3\2.6.3.7],1,24,2,,,,,
024_NAA_020,4,[17437],[2.6.3\2.6.3.7],1,24,1,,,,,
024_NAA_021,4,[17437],[2.6.3\2.6.3.7],,,2,,,,,
024_NAA_022,4,[17437],[2.6.3\2.6.3.7],,,2,,,,,
024_NAA_023,4,[17437],[2.6.3\2.6.3.7],,,2,,,,,
024_NAA_024,4,[17437],[2.6.3\2.6.3.7],,,2,,,,,
024_NAA_025,4,[17437],[3.2.3\3.2.3.0],,,2,,,,,
024_NAA_026,4,[17437],[3.2.3\3.2.3.0],,,2,,,,,
024_NAA_029,4,[17437],[3.2.3\3.2.3.1],,,2,,,,,
024_NAA_030,4,[17437],[3.2.3\3.2.3.1],,,2,,,,,
024_NAA_031,4,[17437],[3.2.3\3.2.3.1],,,2,,,,,
024_NAA_032,4,[17437],[3.2.3\3.2.3.1],,,2,,,,,
024_NAA_034,4,[17437],[3.2.3\3.2.3.1],,,2,,,,,
024_NAA_035,4,[17437],[3.2.3\3.2.3.1],,,2,,,,,
003_GNX_007,5,[00000858822HDMR1],[21\LX\MR,1,56,2,,,,,
003_GNX_012,5,[00000858822HDMR1],[21\LX\MR,2,29,2,,,,,
003_GNX_013,5,[00000858822HDMR1],[23\LX\MR,2,42,2,,,,,
003_GNX_015,5,[00000858822HDMR1],[21\LX\MR,1,37,2,,,,,
003_GNX_018,5,[00000858822HDMR1],[21\LX\MR,1,29,2,,,,,
003_GNX_020,5,[00000858822HDMR1],[21\LX\MR,1,28,2,,,,,
003_GNX_021,5,[00000858822HDMR1],[23\LX\MR,2,28,1,,,,,
003_GNX_022,5,[00000858822HDMR1],[23\LX\MR,1,47,2,,,,,
003_GNX_025,5,[00000858822HDMR1],[23\LX\MR,1,24,2,,,,,
003_GNX_031,5,[00000858822HDMR1],[23\LX\MR,1,35,2,,,,,
003_MPG_007,5,[00000858822HDMR1],[23\LX\MR,1,43,2,,,,,
016_NA3_004,5,[00000858822HDMR1],[21\LX\MR,1,45,2,,,,,
016_NA3_006,5,[00000858822HDMR1],[23\LX\MR,1,,2,,,,,
016_NA3_007,5,[00000858822HDMR1],[23\LX\MR,1,29,2,,,,,
016_NA3_009,5,[00000858822HDMR1],[23\LX\MR,1,33,,,,,,
016_NA3_011,5,[00000858822HDMR1],[23\LX\MR,2,30,2,,,,,
016_NA3_012,5,[00000858822HDMR1],[23\LX\MR,1,1,2,,,,,
016_NA3_013,5,[00000858822HDMR1],[23\LX\MR,1,2,2,,,,,
016_NA3_015,5,[00000858822HDMR1],[23\LX\MR,1,25,2,,,,,
016_NA3_016,5,[00000858822HDMR1],[23\LX\MR,2,33,2,,,,,
